# k, Pcc, Pcchi
5.208548550577665184e-04 2.113204406390095301e+03 2.113204406390095301e+03
5.293266058360561205e-04 2.145990830944832396e+03 2.145990830944832396e+03
5.379361503980697925e-04 2.179254757860024711e+03 2.179254757860024711e+03
5.466857299720180412e-04 2.213041333358346492e+03 2.213041333358346492e+03
5.555776222398877860e-04 2.247318506826886733e+03 2.247318506826886733e+03
5.646141419303672649e-04 2.282133553106475119e+03 2.282133553106475119e+03
5.737976414214132929e-04 2.317452587260110704e+03 2.317452587260110704e+03
5.831305113526218760e-04 2.353325104004467903e+03 2.353325104004467903e+03
5.926151812475552710e-04 2.389715299486342246e+03 2.389715299486342246e+03
6.022541201461927831e-04 2.426674980569912350e+03 2.426674980569912350e+03
6.120498372476702083e-04 2.464166336109870826e+03 2.464166336109870826e+03
6.220048825634710930e-04 2.502243580242967710e+03 2.502243580242967710e+03
6.321218475812448011e-04 2.540866803218126734e+03 2.540866803218126734e+03
6.424033659394190075e-04 2.580092724459679175e+03 2.580092724459679175e+03
6.528521141127847493e-04 2.619879236515943830e+03 2.619879236515943830e+03
6.634708121092349918e-04 2.660285668071641794e+03 2.660285668071641794e+03
6.742622241778341904e-04 2.701267474378050792e+03 2.701267474378050792e+03
6.852291595284056578e-04 2.742886787710242515e+03 2.742886787710242515e+03
6.963744730628222430e-04 2.785096396105064741e+03 2.785096396105064741e+03
7.077010661181889735e-04 2.827961453509065450e+03 2.827961453509065450e+03
7.192118872221193223e-04 2.871432004801855328e+03 2.871432004801855328e+03
7.309099328602910398e-04 2.915576355842325938e+03 2.915576355842325938e+03
7.427982482564911282e-04 2.960341687308130531e+03 2.960341687308130531e+03
7.548799281653430530e-04 3.005799585433907851e+03 3.005799585433907851e+03
7.671581176779302151e-04 3.051894238862011207e+03 3.051894238862011207e+03
7.796360130405236314e-04 3.098700646250717000e+03 3.098700646250717000e+03
7.923168624866253540e-04 3.146159872525292485e+03 3.146159872525292485e+03
8.052039670825469593e-04 3.194350464410908899e+03 3.194350464410908899e+03
8.183006815867389754e-04 3.243210224524724708e+03 3.243210224524724708e+03
8.316104153230961067e-04 3.292821388742147064e+03 3.292821388742147064e+03
8.451366330684721229e-04 3.343118158078194938e+03 3.343118158078194938e+03
8.588828559546249353e-04 3.394186721406172637e+03 3.394186721406172637e+03
8.728526623848370004e-04 3.445957264962905356e+03 3.445957264962905356e+03
8.870496889654402514e-04 3.498520281973983856e+03 3.498520281973983856e+03
9.014776314524917782e-04 3.551801853189524081e+03 3.551801853189524081e+03
9.161402457138521178e-04 3.605896966730043459e+03 3.605896966730043459e+03
9.310413487069074982e-04 3.660727429203647262e+03 3.660727429203647262e+03
9.461848194721992787e-04 3.716392901837037698e+03 3.716392901837037698e+03
9.615746001432096297e-04 3.772810733248137240e+03 3.772810733248137240e+03
9.772146969725724417e-04 3.830085440240943626e+03 3.830085440240943626e+03
9.931091813749799713e-04 3.888129724793499008e+03 3.888129724793499008e+03
1.009262190987047277e-03 3.947053145960540405e+03 3.947053145960540405e+03
1.025677930744421868e-03 4.006763564508590662e+03 4.006763564508590662e+03
1.042360673976401152e-03 4.067375773219353505e+03 4.067375773219353505e+03
1.059314763518369841e-03 4.128792325562740189e+03 4.128792325562740189e+03
1.076544612842315982e-03 4.191133597185066719e+03 4.191133597185066719e+03
1.094054707205742438e-03 4.254296093761089651e+03 4.254296093761089651e+03
1.111849604819271095e-03 4.318406338887521997e+03 4.318406338887521997e+03
1.129933938033221476e-03 4.383354684436908428e+03 4.383354684436908428e+03
1.148312414543510920e-03 4.449274089134560199e+03 4.449274089134560199e+03
1.166989818617147380e-03 4.516048527418141020e+03 4.516048527418141020e+03
1.185971012337669371e-03 4.583817638392730260e+03 4.583817638392730260e+03
1.205260936870842505e-03 4.652458757214871184e+03 4.652458757214871184e+03
1.224864613750930708e-03 4.722118453124145162e+03 4.722118453124145162e+03
1.244787146187906202e-03 4.792667154722070336e+03 4.792667154722070336e+03
1.265033720395903781e-03 4.864258615426207143e+03 4.864258615426207143e+03
1.285609606943295159e-03 4.936756084717479098e+03 4.936756084717479098e+03
1.306520162124721234e-03 5.010320758317223408e+03 5.010320758317223408e+03
1.327770829355428986e-03 5.084808179261655823e+03 5.084808179261655823e+03
1.349367140588306375e-03 5.160387383940139443e+03 5.160387383940139443e+03
1.371314717753945468e-03 5.236905173095428836e+03 5.236905173095428836e+03
1.393619274224142113e-03 5.314539153771685960e+03 5.314539153771685960e+03
1.416286616299198848e-03 5.393127208206508840e+03 5.393127208206508840e+03
1.439322644719406592e-03 5.472855915559559435e+03 5.472855915559559435e+03
1.462733356201129922e-03 5.553553967216454112e+03 5.553553967216454112e+03
1.486524844997857194e-03 5.635417230402812493e+03 5.635417230402812493e+03
1.510703304486653948e-03 5.718264858236436339e+03 5.718264858236436339e+03
1.535275028780422714e-03 5.802302325117802866e+03 5.802302325117802866e+03
1.560246414366369501e-03 5.887338894058169899e+03 5.887338894058169899e+03
1.585623961771137104e-03 5.973589968390115246e+03 5.973589968390115246e+03
1.611414277253019837e-03 6.060854565263981385e+03 6.060854565263981385e+03
1.637624074521687283e-03 6.149358340799201869e+03 6.149358340799201869e+03
1.664260176485903454e-03 6.238889443659505559e+03 6.238889443659505559e+03
1.691329517029648575e-03 6.329684244248961477e+03 6.329684244248961477e+03
1.718839142817145480e-03 6.421518458566892150e+03 6.421518458566892150e+03
1.746796215127245557e-03 6.514640173070331912e+03 6.514640173070331912e+03
1.775208011717634149e-03 6.608812398264012700e+03 6.608812398264012700e+03
1.804081928719382779e-03 6.704295514908257246e+03 6.704295514908257246e+03
1.833425482562290763e-03 6.800839563199955592e+03 6.800839563199955592e+03
1.863246311931559835e-03 6.898717604016459518e+03 6.898717604016459518e+03
1.893552179756295304e-03 6.997666270120404988e+03 6.997666270120404988e+03
1.924350975230330321e-03 7.097971687252275842e+03 7.097971687252275842e+03
1.955650715865949168e-03 7.199356643208486275e+03 7.199356643208486275e+03
1.987459549580983600e-03 7.302120711284337631e+03 7.302120711284337631e+03
2.019785756819878538e-03 7.405972397481305052e+03 7.405972397481305052e+03
2.052637752709252084e-03 7.511225102199813591e+03 7.511225102199813591e+03
2.086024089248502376e-03 7.617572411490163176e+03 7.617572411490163176e+03
2.119953457536071038e-03 7.725342026804026318e+03 7.725342026804026318e+03
2.154434690031884706e-03 7.834210773550693375e+03 7.834210773550693375e+03
2.189476762856620851e-03 7.944521747842534751e+03 7.944521747842534751e+03
2.225088798128369016e-03 8.055934540131573158e+03 8.055934540131573158e+03
2.261280066337276878e-03 8.168808366211454086e+03 8.168808366211454086e+03
2.298059988758850702e-03 8.282785388980435528e+03 8.282785388980435528e+03
2.335438139906479207e-03 8.398241360226356846e+03 8.398241360226356846e+03
2.373424250023866040e-03 8.514800530273698314e+03 8.514800530273698314e+03
2.412028207618006643e-03 8.632855591751083921e+03 8.632855591751083921e+03
2.451260062033337045e-03 8.752012405379840857e+03 8.752012405379840857e+03
2.491130026067788373e-03 8.872680997528250373e+03 8.872680997528250373e+03
2.531648478631355528e-03 8.994448373492044993e+03 8.994448373492044993e+03
2.572825967447932034e-03 9.117742272499801402e+03 9.117742272499801402e+03
2.614673211801091940e-03 9.242130226460008998e+03 9.242130226460008998e+03
2.657201105324503987e-03 9.368058125880372245e+03 9.368058125880372245e+03
2.700420718837772543e-03 9.495071797072108893e+03 9.495071797072108893e+03
2.744343303228364943e-03 9.623636470137489596e+03 9.623636470137489596e+03
2.788980292380439669e-03 9.753275507150028716e+03 9.753275507150028716e+03
2.834343306151309617e-03 9.884474374014620480e+03 9.884474374014620480e+03
2.880444153396298067e-03 1.001673404914535422e+04 1.001673404914535422e+04
2.927294835042816134e-03 1.015056061158766170e+04 1.015056061158766170e+04
2.974907547214440586e-03 1.028543220909948650e+04 1.028543220909948650e+04
3.023294684405776131e-03 1.042187587729441293e+04 1.042187587729441293e+04
3.072468842709003348e-03 1.055934650436463562e+04 1.055934650436463562e+04
3.122442823092857773e-03 1.069839239699549398e+04 1.069839239699549398e+04
3.173229634734976018e-03 1.083844478494466057e+04 1.083844478494466057e+04
3.224842498408442022e-03 1.098007352882386476e+04 1.098007352882386476e+04
3.277294849923382148e-03 1.112268570379514313e+04 1.112268570379514313e+04
3.330600343624588386e-03 1.126687302757045472e+04 1.126687302757045472e+04
3.384772855945982796e-03 1.141201572899627172e+04 1.141201572899627172e+04
3.439826489022924580e-03 1.155872860280868008e+04 1.155872860280868008e+04
3.495775574363275268e-03 1.170636377899800573e+04 1.170636377899800573e+04
3.552634676578139260e-03 1.185556022713796665e+04 1.185556022713796665e+04
3.610418597173337477e-03 1.200564269525760574e+04 1.200564269525760574e+04
3.669142378402494038e-03 1.215727455535564513e+04 1.215727455535564513e+04
3.728821307182833642e-03 1.230975292777191135e+04 1.230975292777191135e+04
3.789470919074668012e-03 1.246376573442222434e+04 1.246376573442222434e+04
3.851107002325568872e-03 1.261858223897082826e+04 1.261858223897082826e+04
3.913745601980383668e-03 1.277491500597620143e+04 1.277491500597620143e+04
3.977403024058036828e-03 1.293200527328171120e+04 1.293200527328171120e+04
4.042095839796306170e-03 1.309059028248842515e+04 1.309059028248842515e+04
4.107840889965646072e-03 1.324988306332368302e+04 1.324988306332368302e+04
4.174655289253134671e-03 1.341064553665439053e+04 1.341064553665439053e+04
4.242556430717776307e-03 1.357205985757374401e+04 1.357205985757374401e+04
4.311561990318228677e-03 1.373491354781075825e+04 1.373491354781075825e+04
4.381689931514190679e-03 1.389835603350244310e+04 1.389835603350244310e+04
4.452958509942654859e-03 1.406320154853861823e+04 1.406320154853861823e+04
4.525386278170165887e-03 1.422856847373137134e+04 1.422856847373137134e+04
4.598992090522438167e-03 1.439529765298195525e+04 1.439529765298195525e+04
4.673795107992463616e-03 1.456247666373834363e+04 1.456247666373834363e+04
4.749814803228499978e-03 1.473097269940620390e+04 1.473097269940620390e+04
4.827070965603182627e-03 1.489984275562672519e+04 1.489984275562672519e+04
4.905583706365045267e-03 1.506998002656504650e+04 1.506998002656504650e+04
4.985373463873893699e-03 1.524041124768946247e+04 1.524041124768946247e+04
