# k, Pcc, Pcchi
2.508415059277541105e-05 1.135307764198695253e+02 1.135307764198695253e+02
2.549214654451425796e-05 1.153145601903684394e+02 1.153145601903684394e+02
2.590677858688005951e-05 1.171254794534695947e+02 1.171254794534695947e+02
2.632815465648019783e-05 1.189657366718277700e+02 1.189657366718277700e+02
2.675638444552045131e-05 1.208339922106431175e+02 1.208339922106431175e+02
2.719157943036018971e-05 1.227325104059625431e+02 1.227325104059625431e+02
2.763385290053172626e-05 1.246599171042725942e+02 1.246599171042725942e+02
2.808331998823169760e-05 1.266185402910455196e+02 1.266185402910455196e+02
2.854009769829237252e-05 1.286069704424181452e+02 1.286069704424181452e+02
2.900430493863991665e-05 1.306276009654584129e+02 1.306276009654584129e+02
2.947606255124858801e-05 1.326789860992642218e+02 1.326789860992642218e+02
2.995549334359816519e-05 1.347635864858645220e+02 1.347635864858645220e+02
3.044272212064299681e-05 1.368799192406856093e+02 1.368799192406856093e+02
3.093787571730136646e-05 1.390305141033247480e+02 1.390305141033247480e+02
3.144108303147264728e-05 1.412138501590677038e+02 1.412138501590677038e+02
3.195247505759213607e-05 1.434325281582229366e+02 1.434325281582229366e+02
3.247218492073131901e-05 1.456849882291801919e+02 1.456849882291801919e+02
3.300034791125281526e-05 1.479739040980468019e+02 1.479739040980468019e+02
3.353710152002928861e-05 1.502976759233677910e+02 1.502976759233677910e+02
3.408258547423451975e-05 1.526590524846300809e+02 1.526590524846300809e+02
3.463694177371734559e-05 1.550563928141685608e+02 1.550563928141685608e+02
3.520031472796682085e-05 1.574925229915567968e+02 1.574925229915567968e+02
3.577285099367869166e-05 1.599657598933249290e+02 1.599657598933249290e+02
3.635469961293317630e-05 1.624790090771834059e+02 1.624790090771834059e+02
3.694601205199302477e-05 1.650305442312414641e+02 1.650305442312414641e+02
3.754694224073336996e-05 1.676233526006244858e+02 1.676233526006244858e+02
3.815764661271252544e-05 1.702556636266597536e+02 1.702556636266597536e+02
3.877828414589453094e-05 1.729305485113841598e+02 1.729305485113841598e+02
3.940901640403447737e-05 1.756461913672176820e+02 1.756461913672176820e+02
4.005000757873611187e-05 1.784057496844107789e+02 1.784057496844107789e+02
4.070142453219438740e-05 1.812073611401503967e+02 1.812073611401503967e+02
4.136343684063277602e-05 1.840542719076352967e+02 1.840542719076352967e+02
4.203621683844717692e-05 1.869445720217517817e+02 1.869445720217517817e+02
4.271993966306776293e-05 1.898815988659304992e+02 1.898815988659304992e+02
4.341478330055092863e-05 1.928633933593629877e+02 1.928633933593629877e+02
4.412092863191190454e-05 1.958933869088795632e+02 1.958933869088795632e+02
4.483855948021190816e-05 1.989695700500310238e+02 1.989695700500310238e+02
4.556786265841068756e-05 2.020954709106590030e+02 2.020954709106590030e+02
4.630902801799737309e-05 2.052690284037799984e+02 2.052690284037799984e+02
4.706224849841281693e-05 2.084938700807148848e+02 2.084938700807148848e+02
4.782772017727485219e-05 2.117678819572901716e+02 2.117678819572901716e+02
4.860564232142138599e-05 2.150947937848952733e+02 2.150947937848952733e+02
4.939621743878325959e-05 2.184724373785004445e+02 2.184724373785004445e+02
5.019965133110079395e-05 2.219046475422397862e+02 2.219046475422397862e+02
5.101615314749833230e-05 2.253892005570043864e+02 2.253892005570043864e+02
